Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
14280,2.1188180446624756,9,9,5681,1305,1478.0,54.0,631.2222222222222,608.7836283712297,571.0,54.0,145.0,175.43723157363783,3297.121250028272,8.49530239056812,0.12463635556838092,0.4513979533693777,1.929306983947754,0.0,2.089869976043701,0.26123374700546265,0.6548636176413665,1.9929981231689453,0.0,2.1188180446624756,0.26485225558280945,0.6292248904620754,1.929306983947754,0.004889965057373047,5,2,0,0,372.0,372.0,4.24765119528406,4.24765119528406,54.0,1478.0,388.1111111111111,509.70665734637004,259800.8765432099,2,2,0,7,17,0,0,0,1.0,388.1111111111111,589.8888888888889,103.66666666666667,372.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5681,9,1305,0,0,8,14,2.1188180446624756,0.0,2.1188180446624756,2.1188180446624756,0.0,0.0,0.0,0.0,BENIGN
14286,1.2079172134399414,9,8,5681,1249,1478.0,54.0,631.2222222222222,608.7836283712297,571.0,54.0,156.125,182.66803052258487,5737.148144668414,14.073812187498273,0.07549482583999634,0.26875331752932663,1.1157269477844238,0.0,1.185142993927002,0.14814287424087524,0.3738646584118097,1.1369199752807617,0.0,1.2079172134399414,0.17255960191999162,0.38516677237415997,1.1157269477844238,0.00033402442932128906,5,2,0,0,372.0,332.0,7.450841746322615,6.622970441175658,54.0,1478.0,407.6470588235294,517.8279229487988,268145.75778546714,2,2,0,7,16,0,0,0,0.8888888888888888,407.6470588235294,589.8888888888889,114.625,372.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5681,8,1249,0,0,8,14,1.2079172134399414,0.0,1.2079172134399414,1.2079172134399414,0.0,0.0,0.0,0.0,BENIGN
14315,3.017849922180176,0,3,0,198,0.0,0.0,0.0,0.0,66.0,66.0,66.0,0.0,65.60962443651256,0.9940852187350389,1.508924961090088,0.5005831718444824,2.0095081329345703,1.0083417892456055,0.0,0.0,0.0,0.0,0.0,3.017849922180176,1.508924961090088,0.5005831718444824,2.0095081329345703,1.0083417892456055,0,0,0,0,0.0,156.0,0.0,0.9940852187350389,66.0,66.0,66.0,0.0,0.0,0,3,0,0,0,0,0,0,0.0,66.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,198,0,0,0,0,1.0083417892456055,0.0,1.0083417892456055,1.0083417892456055,2.0095081329345703,0.0,2.0095081329345703,2.0095081329345703,BENIGN
14316,3.0176620483398438,0,3,0,198,0.0,0.0,0.0,0.0,66.0,66.0,66.0,0.0,65.61370916565326,0.9941471085705039,1.5088310241699219,0.5006771087646484,2.0095081329345703,1.0081539154052734,0.0,0.0,0.0,0.0,0.0,3.0176620483398438,1.5088310241699219,0.5006771087646484,2.0095081329345703,1.0081539154052734,0,0,0,0,0.0,156.0,0.0,0.9941471085705039,66.0,66.0,66.0,0.0,0.0,0,3,0,0,0,0,0,0,0.0,66.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,198,0,0,0,0,1.0081539154052734,0.0,1.0081539154052734,1.0081539154052734,2.0095081329345703,0.0,2.0095081329345703,2.0095081329345703,BENIGN
14320,1.0054681301116943,0,2,0,132,0.0,0.0,0.0,0.0,66.0,66.0,66.0,0.0,131.28213221968213,1.9891232154497291,1.0054681301116943,0.0,1.0054681301116943,1.0054681301116943,0.0,0.0,0.0,0.0,0.0,1.0054681301116943,1.0054681301116943,0.0,1.0054681301116943,1.0054681301116943,0,0,0,0,0.0,104.0,0.0,1.9891232154497291,66.0,66.0,66.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,66.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,132,0,0,0,0,1.0054681301116943,0.0,1.0054681301116943,1.0054681301116943,0.0,0.0,0.0,0.0,BENIGN
14321,1.0052800178527832,0,2,0,132,0.0,0.0,0.0,0.0,66.0,66.0,66.0,0.0,131.30669828884487,1.9894954286188617,1.0052800178527832,0.0,1.0052800178527832,1.0052800178527832,0.0,0.0,0.0,0.0,0.0,1.0052800178527832,1.0052800178527832,0.0,1.0052800178527832,1.0052800178527832,0,0,0,0,0.0,104.0,0.0,1.9894954286188617,66.0,66.0,66.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,66.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,132,0,0,0,0,1.0052800178527832,0.0,1.0052800178527832,1.0052800178527832,0.0,0.0,0.0,0.0,BENIGN
14328,1.6716480255126953,9,9,5681,1305,1478.0,54.0,631.2222222222222,608.7836283712297,571.0,54.0,145.0,175.43723157363783,4179.109413811792,10.76781698376929,0.09833223679486443,0.3481158015845891,1.4896481037139893,0.0,1.6494560241699219,0.20618200302124023,0.5097246478771763,1.553661823272705,0.0,1.6716480255126953,0.20895600318908691,0.4842013146479301,1.4896481037139893,0.005803108215332031,5,2,0,0,372.0,372.0,5.383908491884645,5.383908491884645,54.0,1478.0,388.1111111111111,509.70665734637004,259800.8765432099,2,2,0,7,17,0,0,0,1.0,388.1111111111111,589.8888888888889,103.66666666666667,372.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5681,9,1305,0,0,8,14,1.6716480255126953,0.0,1.6716480255126953,1.6716480255126953,0.0,0.0,0.0,0.0,BENIGN
14330,0.9073190689086914,9,9,5681,1303,1478.0,54.0,631.2222222222222,608.7836283712297,571.0,54.0,144.77777777777777,175.1861091511144,7697.402423604126,19.83866604021682,0.053371709935805374,0.17949492525607927,0.7696020603179932,0.0,0.8829288482666016,0.1103661060333252,0.2736082386636578,0.8338868618011475,0.0,0.9073190689086914,0.11341488361358643,0.24844759930646798,0.7696020603179932,0.0003781318664550781,5,2,0,0,372.0,372.0,9.91933302010841,9.91933302010841,54.0,1478.0,388.0,509.71647892616625,259810.88888888888,2,2,0,7,17,0,0,0,1.0,388.0,589.8888888888889,103.44444444444444,372.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5681,9,1303,0,0,8,14,0.9073190689086914,0.0,0.9073190689086914,0.9073190689086914,0.0,0.0,0.0,0.0,BENIGN
14350,1.7270069122314453,9,9,5681,1305,1478.0,54.0,631.2222222222222,608.7836283712297,571.0,54.0,145.0,175.43723157363783,4045.1488355500974,10.422656604623784,0.10158864189596738,0.36459904099591484,1.5590481758117676,0.0,1.7065129280090332,0.21331411600112915,0.5347794381975817,1.6276030540466309,0.0,1.7270069122314453,0.21587586402893066,0.5078243042780006,1.5590481758117676,0.0072209835052490234,5,2,0,0,372.0,372.0,5.211328302311892,5.211328302311892,54.0,1478.0,388.1111111111111,509.70665734637004,259800.8765432099,2,2,0,7,17,0,0,0,1.0,388.1111111111111,589.8888888888889,103.66666666666667,372.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5681,9,1305,0,0,8,14,1.7270069122314453,0.0,1.7270069122314453,1.7270069122314453,0.0,0.0,0.0,0.0,BENIGN
14352,0.7869751453399658,9,9,5681,1303,1478.0,54.0,631.2222222222222,608.7836283712297,571.0,54.0,144.77777777777777,175.1861091511144,8874.48611478445,22.87238689377435,0.046292655608233285,0.15077282231483116,0.6469628810882568,0.0,0.7669599056243896,0.0958699882030487,0.23610448753137595,0.7201418876647949,0.0,0.7869751453399658,0.09837189316749573,0.2079425539358581,0.6469628810882568,0.0008380413055419922,5,2,0,0,372.0,372.0,11.436193446887176,11.436193446887176,54.0,1478.0,388.0,509.71647892616625,259810.88888888888,2,2,0,7,17,0,0,0,1.0,388.0,589.8888888888889,103.44444444444444,372.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5681,9,1303,0,0,8,14,0.7869751453399658,0.0,0.7869751453399658,0.7869751453399658,0.0,0.0,0.0,0.0,BENIGN
